id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2073182,Lovely quiet studio flat by the city center,10598905,Eddie,,Stadspark,51.20612,4.41758,Entire home/apt,23,800,0,,,6,0
2086302,Cozy apartment in Antwerp-Berchem,4218557,Anke,,Groenenhoek,51.1958,4.4392,Entire home/apt,45,30,12,2019-06-10,0.15,1,227
2133274,Middelheim Guest House,10885207,Armand,,Oosterveld - Elsdonk,51.17635,4.42433,Private room,75,1,13,2020-02-26,0.25,1,365
2154692,Authentic and very light studio in Antwerp,3199983,Elisabeth,,Stuivenberg,51.22725,4.43552,Entire home/apt,49,2,32,2020-03-09,0.91,2,0
2194840,Fully equiped Appartement,11087865,Rooms Antwerpen,,Universiteitsbuurt,51.2234,4.41389,Entire home/apt,36,1,454,2020-06-09,5.82,5,311
2230592,Loft near Sportpaleis,3488121,Jan,,Deurne Noord,51.22979,4.44464,Private room,50,1,37,2020-02-09,0.47,1,0
2347414,The chill place in Antwerp 2,3189018,Cathy,,Borgerhout Intra Muros Noord,51.21711,4.44417,Private room,85,2,1,2017-04-24,0.03,3,0
2427717,Cosy vintage flat ° center Antwerp,12409903,Annick,,Theaterbuurt-Meir,51.21659,4.4073,Entire home/apt,110,1,298,2020-03-15,3.88,2,0
2433570,charming place on a quiet and green courtyard,12411315,Sophie,,Stuivenberg,51.22154,4.4383,Private room,49,2,103,2020-03-09,1.35,1,0
2436964,NEW - Quiet loft in city center w/ private parking,10891625,Yves,,Historisch Centrum,51.22257,4.40394,Entire home/apt,105,2,59,2020-03-15,3.28,1,111
2448815,MAISON NATIONALE City Flats&Suites,12523959,Tom,,Sint-Andries,51.21699,4.40014,Private room,165,1,0,,,1,0
2507353,Cosy private room near station/town,2330818,Annemie,,Stuivenberg,51.22092,4.42942,Private room,45,60,176,2018-11-03,2.31,1,0
2522970,Luxury city center apartment  with terrace,12917758,Bart,,Theaterbuurt-Meir,51.21861,4.40964,Entire home/apt,98,1,221,2020-06-17,2.90,1,318
2543695,aplace/antwerp: gorgeous flat with square view,234077,Karin,,Sint-Andries,51.21762,4.39954,Entire home/apt,180,2,12,2018-12-07,0.18,4,365
2602613,Light and spacious duplex apartment,13330269,Joelle,,Borgerhout Intra Muros Noord,51.21611,4.43234,Entire home/apt,65,2,144,2020-01-04,1.90,1,331
2664034,One bedroom appartment near Eilandje,3255968,Kristof,,Historisch Centrum,51.22352,4.40571,Entire home/apt,65,3,31,2020-03-12,0.41,1,150
2682144,Cozy mini loft in trendy neighborhood,13731159,Nick,,Zurenborg,51.20923,4.42563,Entire home/apt,60,6,8,2020-02-19,0.56,1,0
2682808,Cosy room in a charming house,13733939,Anneke,,Oud - Berchem,51.1976,4.42955,Private room,35,1,346,2020-03-08,4.57,1,361
2762341,Comfortable studio downtown Antwerp,5398498,Martine,,Amandus - Atheneum,51.22222,4.41709,Entire home/apt,59,4,14,2019-08-16,0.19,2,0
2819412,"laterrebleue-'my house, your house'",14423888,Fatima,,Borgerhout Intra Muros Zuid,51.20914,4.43539,Shared room,36,1,112,2020-01-02,1.82,1,361
2819790,Bohemian Republic- Grand-Suite.,4261413,Jackie,,Oud - Berchem,51.20056,4.43333,Private room,450,1,26,2019-11-24,0.35,15,365
2820108,Beds in Antwerp City!,4261413,Jackie,,Oud - Berchem,51.20179,4.43163,Shared room,44,1,101,2019-08-18,1.34,15,365
2843276,The Old charming Lady,4261413,Jackie,,Oud - Berchem,51.20143,4.43312,Shared room,48,1,53,2015-08-30,0.71,15,365
2918528,Shared Rooms Or Private in the City!,4261413,Jackie,,Oud - Berchem,51.20031,4.43252,Shared room,18,1,87,2020-03-02,1.18,15,365
2957381,Charming apartment in old city center,2895120,David & Jackie,,Historisch Centrum,51.22318,4.40447,Entire home/apt,65,2,4,2016-11-27,0.09,2,0
3025379,+++ KAMIL +++ terrace & pond,3185214,Annemie,,Borgerhout Intra Muros Zuid,51.21066,4.42863,Entire home/apt,140,2,173,2020-02-02,2.38,4,264
3048594,Unique huge loft with private pool and big garden.,11534275,"Ian, Jande En Marie",,Borgerhout Intra Muros Noord,51.21571,4.43311,Entire home/apt,335,2,226,2020-05-31,3.05,2,308
3065963,Charming apartment in old city center,2895120,David & Jackie,,Historisch Centrum,51.22493,4.40372,Entire home/apt,59,1,5,2016-11-20,0.11,2,0
3197919,"100 years old ""master mansion"".    ",16207518,Michael,,Harmonie,51.20688,4.40645,Entire home/apt,230,3,10,2019-07-28,0.15,1,322
3202647,Penthouse +Terrace @CentralStation,10614479,Steven,,Stadspark,51.21757,4.41641,Entire home/apt,72,7,36,2020-03-13,0.60,1,348
3203133,Cosy flat in trendy neighbourhood,13572444,Vincent,,Zurenborg,51.20658,4.42614,Entire home/apt,70,20,11,2019-09-20,0.15,1,310
3207291,Central Penthouse - 35 m² terrace,16250048,Maurits - Rodolfo,,Stadspark,51.2068,4.41853,Entire home/apt,87,3,46,2019-01-02,0.63,1,0
3218767,Welcome to our home!!!,16271234,Jan,,Borgerhout Intra Muros Noord,51.21803,4.43461,Private room,59,1,37,2017-04-26,0.51,1,365
3268690,Bright appartment at the South of Antwerp,13665161,Jozefien,,Zuid,51.20495,4.38977,Entire home/apt,109,2,44,2019-02-24,0.61,1,0
3426775,100 year old renovated home,14793024,Jorge,,Oud - Berchem,51.19816,4.41898,Entire home/apt,110,2,26,2020-03-18,0.40,1,302
3467654,Cosy studio in nice neighbourhood (70m2),8558537,Johan,,Harmonie,51.20605,4.40858,Entire home/apt,55,3,18,2020-03-23,0.25,1,0
3518676,Charmant appartement op toplocatie!,17717089,Leonie En Ahmed,,Historisch Centrum,51.22392,4.40238,Entire home/apt,95,2,77,2020-03-08,1.12,1,354
3540493,Antwerp City Studio,15709831,Liam,,Amandus - Atheneum,51.21898,4.42506,Entire home/apt,51,2,272,2020-03-08,3.77,1,0
3609370,Cosy room in perfectly located loft,10038260,Christophe,,Zuid,51.21253,4.39235,Private room,49,2,51,2016-07-30,0.86,2,0
3711139,Vintage Antwerp Apartment - 1 month,9843443,N,,Borgerhout Intra Muros Noord,51.21756,4.44284,Entire home/apt,40,1,0,,,1,0
3806718,Cosy penthouse with big terrace,5739313,Mathilde,,Stadspark,51.20618,4.41572,Entire home/apt,110,2,6,2015-11-14,0.09,1,0
3857702,Rooms - Apartment - Studio - City Center Antwerp,19891615,Bart,,Universiteitsbuurt,51.2223,4.40746,Entire home/apt,180,2,23,2019-07-29,0.33,1,309
